sensor,year,month,day,hour,Air_Temp,Humidity,Surface_Temp,DateTime,TMPF,HMD,TMP,RNF,WND,WNG,WNS,DEW,Date,Time,Ambient_Air_Temp,Rel_Humidity
Sensor_1,2024,1,2,12,18.4,79.5,24.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sensor_1,2024,1,8,14,20.583333333333332,74.86666666666666,19.268333333333334,2024-01-08T14:00:00Z,97.8,65,13.9,0,32,0,0,7.4,NA,NA,NA,NA
Sensor_1,2024,1,8,15,21.14,71.735,19.2135,2024-01-08T15:00:00Z,129.7,54,15.8,0,32,0,0,6.5,NA,NA,NA,NA
Sensor_10,2024,1,2,13,21.033333333333335,52.94814814814815,17.892592592592592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sensor_10,2024,1,2,14,18.46909090909091,57.74545454545454,17.142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sensor_10,2024,1,2,15,17.203636363636363,61.82,15.919636363636364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sensor_10,2024,1,2,16,15.977777777777778,65.23703703703704,14.187407407407408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sensor_10,2024,1,2,17,14.734545454545454,67.97090909090909,11.91690909090909,2024-01-02T17:00:00Z,45.4,43.2,14.2,0,91,0,0,1.9,NA,NA,NA,NA
Sensor_10,2024,1,2,18,14.086666666666666,70.57333333333334,10.927333333333333,2024-01-02T18:00:00Z,35.8,49.5,13.7,0,91,0,0,3.3,NA,NA,NA,NA
Sensor_10,2024,1,3,8,16.022222222222222,82.63333333333334,14.34,2024-01-03T08:00:00Z,32.5,93.9,8.8,0,156,3,0,7.8,NA,NA,NA,NA
Sensor_10,2024,1,3,9,12.433333333333334,90.8425925925926,10.481666666666667,2024-01-03T09:00:00Z,38.4,94.3,8.9,0,173,3,0,8.1,NA,NA,NA,NA
Sensor_10,2024,1,3,10,12.489090909090908,91.98727272727272,12.123818181818182,2024-01-03T10:00:00Z,47.1,93.9,9.3,0,186,0,0,8.3,NA,NA,NA,NA
Sensor_10,2024,1,3,11,13.518181818181818,91.05454545454545,14.700727272727272,2024-01-03T11:00:00Z,64.3,93.1,10.1,0,186,0,0,9,NA,NA,NA,NA
Sensor_10,2024,1,3,12,15.418181818181818,87.1,16.72,2024-01-03T12:00:00Z,99.7,88.2,11.3,0,179,0,0,9.4,NA,NA,NA,NA
Sensor_10,2024,1,3,13,16.15,83.3,16.905,2024-01-03T13:00:00Z,155.4,69.8,13.5,0,67,0,0,8.1,NA,NA,NA,NA
Sensor_11,2024,1,24,10,17.049999999999997,71.75,16.155,2024-01-24T10:00:00Z,42.6,89.8,9.8,0,67,0,0,8.2,2024-01-24,10:35:00,11.49,84.88
Sensor_12,2024,1,24,10,16.55,81.55,16.31,2024-01-24T10:00:00Z,42.6,89.8,9.8,0,67,0,0,8.2,2024-01-24,10:35:00,11.49,84.88
Sensor_13,2024,1,24,10,16.7,72.7,17,2024-01-24T10:00:00Z,42.6,89.8,9.8,0,67,0,0,8.2,2024-01-24,10:35:00,11.49,84.88
Sensor_14,2024,1,24,10,16.7,77.5,16.06,2024-01-24T10:00:00Z,42.6,89.8,9.8,0,67,0,0,8.2,2024-01-24,10:35:00,11.49,84.88
Sensor_15,2024,1,24,10,16.6,75,16.75,2024-01-24T10:00:00Z,42.6,89.8,9.8,0,67,0,0,8.2,2024-01-24,10:35:00,11.49,84.88
Sensor_16,2024,1,24,10,16.8,74.5,16.94,2024-01-24T10:00:00Z,42.6,89.8,9.8,0,67,0,0,8.2,2024-01-24,10:35:00,11.49,84.88
Sensor_17,2024,1,24,10,16.6,75,16.56,2024-01-24T10:00:00Z,42.6,89.8,9.8,0,67,0,0,8.2,2024-01-24,10:35:00,11.49,84.88
Sensor_18,2024,1,24,11,17,76.5,16.25,2024-01-24T11:00:00Z,50.1,90.4,9.9,0,69,0,0,8.4,NA,NA,NA,NA
Sensor_19,2024,1,24,13,20.2,85.9,19.38,2024-01-24T13:00:00Z,148.5,79.2,12.7,0,66,0,0,9.2,NA,NA,NA,NA
Sensor_20,2024,1,24,14,19.8,80.6,18.5,2024-01-24T14:00:00Z,157.4,49,15.8,0,50,0,0,5.1,2024-01-24,14:21:00,16.76,62.82
Sensor_3,2024,1,2,13,21.674074074074074,45.08148148148148,23.802222222222223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sensor_3,2024,1,2,14,19.17818181818182,49.27090909090909,20.844363636363635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sensor_3,2024,1,2,15,17.650909090909092,53.31090909090909,17.24890909090909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sensor_3,2024,1,2,16,16.403636363636362,55.90909090909091,15.008727272727272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sensor_3,2024,1,2,17,14.998148148148148,58.087037037037035,12.551296296296297,2024-01-02T17:00:00Z,45.4,43.2,14.2,0,91,0,0,1.9,NA,NA,NA,NA
Sensor_3,2024,1,2,18,14.113333333333333,60.84,11.464,2024-01-02T18:00:00Z,35.8,49.5,13.7,0,91,0,0,3.3,NA,NA,NA,NA
Sensor_3,2024,1,3,8,15.7,71.725,13.75,2024-01-03T08:00:00Z,32.5,93.9,8.8,0,156,3,0,7.8,NA,NA,NA,NA
Sensor_3,2024,1,3,9,12.81111111111111,81.72777777777777,10.849444444444444,2024-01-03T09:00:00Z,38.4,94.3,8.9,0,173,3,0,8.1,NA,NA,NA,NA
Sensor_3,2024,1,3,10,12.82,83.4090909090909,12.499636363636364,2024-01-03T10:00:00Z,47.1,93.9,9.3,0,186,0,0,8.3,NA,NA,NA,NA
Sensor_3,2024,1,3,11,13.818181818181818,81.81454545454545,15.387272727272727,2024-01-03T11:00:00Z,64.3,93.1,10.1,0,186,0,0,9,NA,NA,NA,NA
Sensor_3,2024,1,3,12,16.107272727272726,76.3,19.601454545454544,2024-01-03T12:00:00Z,99.7,88.2,11.3,0,179,0,0,9.4,NA,NA,NA,NA
Sensor_3,2024,1,3,13,16.95,72.1,20.035,2024-01-03T13:00:00Z,155.4,69.8,13.5,0,67,0,0,8.1,NA,NA,NA,NA
Sensor_3,2024,1,17,16,19.65,64.05,19.56,2024-01-17T16:00:00Z,90.6,39.7,16.3,0,193,0,0,2.5,NA,NA,NA,NA
Sensor_3,2024,1,18,9,16.5,84.375,15.6425,2024-01-18T09:00:00Z,40.4,97.9,7.5,0,224,0,0,7.2,2024-01-18,09:07:00,10.51,78.19
Sensor_3,2024,1,18,10,16.85,80.4,16.044999999999998,2024-01-18T10:00:00Z,54.4,98,8.1,0,190,0,0,7.8,2024-01-18,10:10:00,10.93,81.11
Sensor_3,2024,1,18,16,18.958333333333332,75.375,18.3125,2024-01-18T16:00:00Z,87.5,45.9,16.4,0,196,0,0,4.7,2024-01-18,16:11:00,15.48,63.42
Sensor_3,2024,1,23,12,17.150000000000002,73.78333333333333,17.388333333333332,2024-01-23T12:00:00Z,172.5,94.2,11.3,0,216,0,0,10.4,2024-01-23,12:38:00,16.44,65.35
Sensor_3,2024,1,23,13,20.525,62.625,18.9075,2024-01-23T13:00:00Z,196.9,62.2,14.6,0,192,0,0,7.4,2024-01-23,13:51:00,16.99,65.64
Sensor_3,2024,1,23,14,20.85,60.925,19.11,2024-01-23T14:00:00Z,171.6,42.8,17.7,0,146,0,0,4.9,NA,NA,NA,NA
Sensor_3,2024,1,23,15,20.475,59.775,18.485,2024-01-23T15:00:00Z,121.5,38.3,18.9,0,144,0,0,4.4,2024-01-23,15:09:00,18.4,59.21
Sensor_3,2024,1,23,16,19.375,63.1,17.485,2024-01-23T16:00:00Z,88,41.1,18.4,0,304,0,0,5,2024-01-23,16:34:00,16.6,61.59
